tiempo,a_x,a_y,a_z,a_mod
2.015000000000000124e+00,-9.184513650850939515e-02,1.416896833437331915e-01,9.798545217921523331e+00,9.799999994036687312e+00
2.044999999999999929e+00,-9.184514062855353433e-02,1.416896852343843549e-01,9.798545215005207254e+00,9.799999991186751913e+00
2.080000000000000071e+00,-9.184512767159105917e-02,1.416896805290225048e-01,9.798545225375429268e+00,9.800000001365971158e+00
2.115000000000000213e+00,-9.184513636859154007e-02,1.416896842064900852e-01,9.798545218904404663e+00,9.799999995030585609e+00
2.145000000000000018e+00,-9.184513893097683013e-02,1.416896854453610077e-01,9.798545217142651254e+00,9.799999993311018898e+00
2.180000000000000160e+00,-9.184513954034820293e-02,1.416896859505720752e-01,9.798545216915741207e+00,9.799999993097157969e+00
2.209999999999999964e+00,-9.184513492371654264e-02,1.416896843765419467e-01,9.798545220697556957e+00,9.799999996812388758e+00
2.245000000000000107e+00,-9.184514362406706600e-02,1.416896879889665839e-01,9.798545214156320071e+00,9.799999990405892092e+00
2.279999999999999805e+00,-9.184512740235582784e-02,1.416896819244218841e-01,9.798545226949670450e+00,9.800000002957631295e+00
2.310000000000000053e+00,-9.184514028261257790e-02,1.416896871002608638e-01,9.798545217103914240e+00,9.799999993308881940e+00
2.345000000000000195e+00,-9.184513933078772285e-02,1.416896869347914756e-01,9.798545218008317903e+00,9.799999994201838760e+00
2.375000000000000000e+00,-9.184513929450580094e-02,1.416896870839150779e-01,9.798545218171515359e+00,9.799999994366828560e+00
2.410000000000000142e+00,-9.184513529337870463e-02,1.416896857091860251e-01,9.798545221428629048e+00,9.799999997566084531e+00
2.444999999999999840e+00,-9.184513108568122253e-02,1.416896842485531605e-01,9.798545224828194122e+00,9.800000000904592667e+00
2.475000000000000089e+00,-9.184513851984864308e-02,1.416896872711460309e-01,9.798545219157512420e+00,9.799999995348125381e+00
2.509999999999999787e+00,-9.184513132066507435e-02,1.416896846348768557e-01,9.798545224858168368e+00,9.800000000942349132e+00
2.540000000000000036e+00,-9.184513909535865772e-02,1.416896877732308491e-01,9.798545218910662769e+00,9.799999995113966023e+00
2.575000000000000178e+00,-9.184513191168022783e-02,1.416896851254633716e-01,9.798545224588380620e+00,9.800000000685233914e+00
2.609999999999999876e+00,-9.184513901850099860e-02,1.416896880105425471e-01,9.798545219156983066e+00,9.799999995362959737e+00
2.640000000000000124e+00,-9.184513572525607183e-02,1.416896868388697328e-01,9.798545221786469028e+00,9.799999997944251362e+00
2.674999999999999822e+00,-9.184513502263692841e-02,1.416896866849302328e-01,9.798545222405945054e+00,9.799999998554826064e+00
2.705000000000000071e+00,-9.184513078265676977e-02,1.416896851367847876e-01,9.798545225758136468e+00,9.800000001844397346e+00
2.740000000000000213e+00,-9.184513495186000243e-02,1.416896868600235893e-01,9.798545222581553915e+00,9.799999998732275230e+00
2.774999999999999911e+00,-9.184513487327981840e-02,1.416896869301839668e-01,9.798545222698860968e+00,9.799999998849843408e+00
2.805000000000000160e+00,-9.184512678186934620e-02,1.416896838806743497e-01,9.798545229022161962e+00,9.800000005052282859e+00
2.839999999999999858e+00,-9.184513876391278697e-02,1.416896886170883330e-01,9.798545219761182423e+00,9.799999995973452727e+00
2.870000000000000107e+00,-9.184513481112407951e-02,1.416896871619914011e-01,9.798545222864845528e+00,9.799999999018572439e+00
2.904999999999999805e+00,-9.184513960045929959e-02,1.416896891017527249e-01,9.798545219184807920e+00,9.799999995412012055e+00
2.939999999999999947e+00,-9.184513476242250896e-02,1.416896873118543010e-01,9.798545222967453228e+00,9.799999999122874783e+00
2.970000000000000195e+00,-9.184513470252839151e-02,1.416896873540257062e-01,9.798545223042097518e+00,9.799999999197556377e+00
3.004999999999999893e+00,-9.184513792786792863e-02,1.416896886789051901e-01,9.798545220561564406e+00,9.799999996766775467e+00
3.035000000000000142e+00,-9.184513073729030919e-02,1.416896859556514010e-01,9.798545226163879462e+00,9.800000002261494814e+00
3.069999999999999840e+00,-9.184513525203739925e-02,1.416896877738763050e-01,9.798545222676725786e+00,9.799999998843459181e+00
3.104999999999999982e+00,-9.184513389494056157e-02,1.416896873146181179e-01,9.798545223746966570e+00,9.799999999894183134e+00
3.134999999999999787e+00,-9.184513447971486000e-02,1.416896875950091894e-01,9.798545223304007123e+00,9.799999999460823119e+00
3.169999999999999929e+00,-9.184512638485572977e-02,1.416896845222820889e-01,9.798545229597301898e+00,9.800000005632893973e+00
3.200000000000000178e+00,-9.184514254283333845e-02,1.416896908344035255e-01,9.798545217053103329e+00,9.799999993333251780e+00
3.234999999999999876e+00,-9.184514250891689935e-02,1.416896908783472908e-01,9.798545217087369252e+00,9.799999993367828566e+00
3.270000000000000018e+00,-9.184513372098147832e-02,1.416896875307436521e-01,9.798545223916194757e+00,9.800000000064880368e+00
3.299999999999999822e+00,-9.184513760867972498e-02,1.416896890866779501e-01,9.798545220892997065e+00,9.799999997101062732e+00
3.334999999999999964e+00,-9.184513497472808485e-02,1.416896881164583233e-01,9.798545222944870403e+00,9.799999999113918392e+00
3.365000000000000213e+00,-9.184513038762995296e-02,1.416896863854402999e-01,9.798545226502605843e+00,9.800000002603109550e+00
3.399999999999999911e+00,-9.184513816775026485e-02,1.416896894487141567e-01,9.798545220457892668e+00,9.799999996676497460e+00
3.435000000000000053e+00,-9.184513486440791519e-02,1.416896882189303541e-01,9.798545223014944128e+00,9.799999999184429100e+00
3.464999999999999858e+00,-9.184512996723616374e-02,1.416896863595195344e-01,9.798545226817559239e+00,9.800000002913700214e+00
3.500000000000000000e+00,-9.184512604117510415e-02,1.416896848864414582e-01,9.798545229857426264e+00,9.800000005895023847e+00
3.529999999999999805e+00,-9.184512600459725229e-02,1.416896849129223590e-01,9.798545229873720785e+00,9.800000005911355672e+00
3.564999999999999947e+00,-9.184512597066661621e-02,1.416896849432300598e-01,9.798545229891548303e+00,9.800000005929300428e+00
3.600000000000000089e+00,-9.184512982640305467e-02,1.416896864784335519e-01,9.798545226887652504e+00,9.800000002984182501e+00
3.629999999999999893e+00,-9.184513400852721554e-02,1.416896881365476146e-01,9.798545223625064082e+00,9.799999999785246274e+00
3.665000000000000036e+00,-9.184513396587615230e-02,1.416896881637550731e-01,9.798545223639520074e+00,9.799999999799693384e+00
